"","rank","athlete","age","team","noc","t","year","gender","event","distance","round"
"374","6","Brett Hawke","29","Australia","AUS","22.18",2004,"mens","freestyle",50,"final"
"375","7","Oleksandr Volynets","29","Ukraine","UKR","22.26",2004,"mens","freestyle",50,"final"
"376","8","Salim Iles","29","Algeria","ALG","22.37",2004,"mens","freestyle",50,"final"
"377","1","César Cielo Filho","21","Brazil","BRA","21.30",2008,"mens","freestyle",50,"final"
"378","2","Amaury Leveaux","22","France","FRA","21.45",2008,"mens","freestyle",50,"final"
"379","3","Alain Bernard","25","France","FRA","21.49",2008,"mens","freestyle",50,"final"
"380","4","Ashley Callus","29","Australia","AUS","21.62",2008,"mens","freestyle",50,"final"
"381","5","Ben Wildman-Tobriner","23","United States","USA","21.64",2008,"mens","freestyle",50,"final"
"382","6","Eamon Sullivan","22","Australia","AUS","21.65",2008,"mens","freestyle",50,"final"
"383","7","Roland Schoeman","28","South Africa","RSA","21.67",2008,"mens","freestyle",50,"final"
"384","8","Stefan Nystrand","26","Sweden","SWE","21.72",2008,"mens","freestyle",50,"final"
"385","1","Florent Manaudou","21","France","FRA","21.34",2012,"mens","freestyle",50,"final"
"386","2","Cullen Jones","28","United States","USA","21.54",2012,"mens","freestyle",50,"final"
"387","3","César Cielo Filho","25","Brazil","BRA","21.59",2012,"mens","freestyle",50,"final"
"388","4","Bruno Fratus","23","Brazil","BRA","21.61",2012,"mens","freestyle",50,"final"
"389","5","Anthony Ervin","31","United States","USA","21.78",2012,"mens","freestyle",50,"final"
"390","6","Roland Schoeman","32","South Africa","RSA","21.80",2012,"mens","freestyle",50,"final"
"391","7","George Bovell","29","Trinidad and Tobago","TTO","21.82",2012,"mens","freestyle",50,"final"
"392","8","Eamon Sullivan","26","Australia","AUS","21.98",2012,"mens","freestyle",50,"final"
"393","1","Matt Biondi","22","United States","USA","48.63",1988,"mens","freestyle",100,"final"
"394","2","Chris Jacobs","23","United States","USA","49.08",1988,"mens","freestyle",100,"final"
"395","3","Stéphan Caron","22","France","FRA","49.62",1988,"mens","freestyle",100,"final"
"396","4","Gennady Prigoda","23","Soviet Union","URS","49.75",1988,"mens","freestyle",100,"final"
"397","5","Iurie Başcatov","20","Soviet Union","URS","50.08",1988,"mens","freestyle",100,"final"
"398","6","Andrew Baildon","17","Australia","AUS","50.23",1988,"mens","freestyle",100,"final"
"399","7","Per Johansson","25","Sweden","SWE","50.35",1988,"mens","freestyle",100,"final"
"400","8","Tom Werner","22","Sweden","SWE","50.54",1988,"mens","freestyle",100,"final"
"401","1","Aleksandr Popov","20","Unified Team","EUN","49.02",1992,"mens","freestyle",100,"final"
"402","2","Gustavo Borges","19","Brazil","BRA","49.43",1992,"mens","freestyle",100,"final"
"403","3","Stéphan Caron","26","France","FRA","49.50",1992,"mens","freestyle",100,"final"
"404","4","Jon Olsen","23","United States","USA","49.51",1992,"mens","freestyle",100,"final"
"405","5","Matt Biondi","26","United States","USA","49.53",1992,"mens","freestyle",100,"final"
"406","6","Tom Werner","26","Sweden","SWE","49.63",1992,"mens","freestyle",100,"final"
"407","7","Christian Tröger","22","Germany","GER","49.84",1992,"mens","freestyle",100,"final"
"408","8","Gennady Prigoda","27","Unified Team","EUN","50.25",1992,"mens","freestyle",100,"final"
"409","1","Aleksandr Popov","24","Russia","RUS","48.74",1996,"mens","freestyle",100,"final"
"410","2","Gary Hall, Jr.","21","United States","USA","48.81",1996,"mens","freestyle",100,"final"
"411","3","Gustavo Borges","23","Brazil","BRA","49.02",1996,"mens","freestyle",100,"final"
"412","4","Pieter van den Hoogenband","18","Netherlands","NED","49.13",1996,"mens","freestyle",100,"final"
"413","5","Xuxa Scherer","21","Brazil","BRA","49.57",1996,"mens","freestyle",100,"final"
"414","6","Pavlo Khnykin","27","Ukraine","UKR","49.65",1996,"mens","freestyle",100,"final"
"415","7","Ricardo Busquets","21","Puerto Rico","PUR","49.68",1996,"mens","freestyle",100,"final"
"416","8","Francisco Sánchez","19","Venezuela","VEN","49.84",1996,"mens","freestyle",100,"final"
"417","1","Pieter van den Hoogenband","22","Netherlands","NED","48.30",2000,"mens","freestyle",100,"final"
"418","2","Aleksandr Popov","28","Russia","RUS","48.69",2000,"mens","freestyle",100,"final"
"419","3","Gary Hall, Jr.","25","United States","USA","48.73",2000,"mens","freestyle",100,"final"
"420","4","Michael Klim","23","Australia","AUS","48.74",2000,"mens","freestyle",100,"final"
"421","5","Neil Walker","24","United States","USA","49.09",2000,"mens","freestyle",100,"final"
"422","6","Lars Frölander","26","Sweden","SWE","49.22",2000,"mens","freestyle",100,"final"
"423","7","Denis Pimankov","25","Russia","RUS","49.36",2000,"mens","freestyle",100,"final"
"424","8","Chris Fydler","27","Australia","AUS","49.44",2000,"mens","freestyle",100,"final"
"425","1","Pieter van den Hoogenband","26","Netherlands","NED","48.17",2004,"mens","freestyle",100,"final"
"426","2","Roland Schoeman","24","South Africa","RSA","48.23",2004,"mens","freestyle",100,"final"
"427","3","Ian Thorpe","21","Australia","AUS","48.56",2004,"mens","freestyle",100,"final"
"428","4","Ryk Neethling","26","South Africa","RSA","48.63",2004,"mens","freestyle",100,"final"
"429","5","Filippo Magnini","22","Italy","ITA","48.99",2004,"mens","freestyle",100,"final"
"430","6","Duje Draganja","21","Croatia","CRO","49.23",2004,"mens","freestyle",100,"final"
"431","7T","Salim Iles","29","Algeria","ALG","49.30",2004,"mens","freestyle",100,"final"
"432","7T","Andrey Kapralov","23","Russia","RUS","49.30",2004,"mens","freestyle",100,"final"
"433","1","Alain Bernard","25","France","FRA","47.21",2008,"mens","freestyle",100,"final"
"434","2","Eamon Sullivan","22","Australia","AUS","47.32",2008,"mens","freestyle",100,"final"
"435","3T","Jason Lezak","32","United States","USA","47.67",2008,"mens","freestyle",100,"final"
"436","3T","César Cielo Filho","21","Brazil","BRA","47.67",2008,"mens","freestyle",100,"final"
"437","5","Pieter van den Hoogenband","30","Netherlands","NED","47.75",2008,"mens","freestyle",100,"final"
"438","6","Lyndon Ferns","24","South Africa","RSA","48.04",2008,"mens","freestyle",100,"final"
"439","7","Matt Targett","22","Australia","AUS","48.20",2008,"mens","freestyle",100,"final"
"440","8","Stefan Nystrand","26","Sweden","SWE","48.33",2008,"mens","freestyle",100,"final"
"441","1","Nathan Adrian","23","United States","USA","47.52",2012,"mens","freestyle",100,"final"
"442","2","James Magnussen","21","Australia","AUS","47.53",2012,"mens","freestyle",100,"final"
"443","3","Brent Hayden","28","Canada","CAN","47.80",2012,"mens","freestyle",100,"final"
"444","4","Yannick Agnel","20","France","FRA","47.84",2012,"mens","freestyle",100,"final"
"445","5","Sebastiaan Verschuren","23","Netherlands","NED","47.88",2012,"mens","freestyle",100,"final"
"446","6","César Cielo Filho","25","Brazil","BRA","47.92",2012,"mens","freestyle",100,"final"
"447","7","Hanser García","23","Cuba","CUB","48.04",2012,"mens","freestyle",100,"final"
"448","8","Nikita Lobintsev","23","Russia","RUS","48.44",2012,"mens","freestyle",100,"final"
"449","1","Duncan Armstrong","20","Australia","AUS","1:47.25",1988,"mens","freestyle",200,"final"
"450","2","Anders Holmertz","19","Sweden","SWE","1:47.89",1988,"mens","freestyle",200,"final"
"451","3","Matt Biondi","22","United States","USA","1:47.99",1988,"mens","freestyle",200,"final"
"452","4","Artur Wojdat","20","Poland","POL","1:48.40",1988,"mens","freestyle",200,"final"
"453","5","Michael Groß","24","West Germany","FRG","1:48.59",1988,"mens","freestyle",200,"final"
"454","6","Steffen Zesner","20","East Germany","GDR","1:48.77",1988,"mens","freestyle",200,"final"
"455","7","Troy Dalbey","19","United States","USA","1:48.86",1988,"mens","freestyle",200,"final"
"456","8","Thomas Fahrner","25","West Germany","FRG","1:49.19",1988,"mens","freestyle",200,"final"
"457","1","Yevgeny Sadovy","19","Unified Team","EUN","1:46.70",1992,"mens","freestyle",200,"final"
"458","2","Anders Holmertz","23","Sweden","SWE","1:46.86",1992,"mens","freestyle",200,"final"
"459","3","Antti Kasvio","18","Finland","FIN","1:47.63",1992,"mens","freestyle",200,"final"
"460","4","Artur Wojdat","24","Poland","POL","1:48.24",1992,"mens","freestyle",200,"final"
"461","5","Vlad Pyshnenko","22","Unified Team","EUN","1:48.32",1992,"mens","freestyle",200,"final"
"462","6","Joe Hudepohl","18","United States","USA","1:48.36",1992,"mens","freestyle",200,"final"
"463","7","Steffen Zesner","24","Germany","GER","1:48.84",1992,"mens","freestyle",200,"final"
"464","8","Doug Gjertsen","24","United States","USA","1:50.57",1992,"mens","freestyle",200,"final"
"465","1","Danyon Loader","21","New Zealand","NZL","1:47.63",1996,"mens","freestyle",200,"final"
"466","2","Gustavo Borges","23","Brazil","BRA","1:48.08",1996,"mens","freestyle",200,"final"
"467","3","Daniel Kowalski","21","Australia","AUS","1:48.25",1996,"mens","freestyle",200,"final"
"468","4","Pieter van den Hoogenband","18","Netherlands","NED","1:48.36",1996,"mens","freestyle",200,"final"
"469","5","Anders Holmertz","27","Sweden","SWE","1:48.42",1996,"mens","freestyle",200,"final"
"470","6","Massimiliano Rosolino","18","Italy","ITA","1:48.50",1996,"mens","freestyle",200,"final"
"471","7","Josh Davis","23","United States","USA","1:48.54",1996,"mens","freestyle",200,"final"
"472","8","Paul Palmer","21","Great Britain","GBR","1:49.39",1996,"mens","freestyle",200,"final"
"473","1","Pieter van den Hoogenband","22","Netherlands","NED","1:45.35",2000,"mens","freestyle",200,"final"
"474","2","Ian Thorpe","17","Australia","AUS","1:45.83",2000,"mens","freestyle",200,"final"
"475","3","Massimiliano Rosolino","22","Italy","ITA","1:46.65",2000,"mens","freestyle",200,"final"
"476","4","Josh Davis","28","United States","USA","1:46.73",2000,"mens","freestyle",200,"final"
"477","5","Paul Palmer","25","Great Britain","GBR","1:47.95",2000,"mens","freestyle",200,"final"
"478","6","James Salter","24","Great Britain","GBR","1:48.74",2000,"mens","freestyle",200,"final"
"479","7","Rick Say","21","Canada","CAN","1:48.76",2000,"mens","freestyle",200,"final"
"480","8","Grant Hackett","20","Australia","AUS","1:49.46",2000,"mens","freestyle",200,"final"
"481","1","Ian Thorpe","21","Australia","AUS","1:44.71",2004,"mens","freestyle",200,"final"
"482","2","Pieter van den Hoogenband","26","Netherlands","NED","1:45.23",2004,"mens","freestyle",200,"final"
"483","3","Michael Phelps","19","United States","USA","1:45.32",2004,"mens","freestyle",200,"final"
"484","4","Klete Keller","22","United States","USA","1:46.13",2004,"mens","freestyle",200,"final"
"485","5","Grant Hackett","24","Australia","AUS","1:46.56",2004,"mens","freestyle",200,"final"
"486","6","Rick Say","25","Canada","CAN","1:47.55",2004,"mens","freestyle",200,"final"
"487","7","Simon Burnett","21","Great Britain","GBR","1:48.02",2004,"mens","freestyle",200,"final"
"488","8","Emiliano Brembilla","25","Italy","ITA","1:48.40",2004,"mens","freestyle",200,"final"
"489","1","Michael Phelps","23","United States","USA","1:42.96",2008,"mens","freestyle",200,"final"
"490","2","Park Tae-Hwan","18","South Korea","KOR","1:44.85",2008,"mens","freestyle",200,"final"
"491","3","Peter Vanderkaay","24","United States","USA","1:45.14",2008,"mens","freestyle",200,"final"
"492","4","Jean Basson","20","South Africa","RSA","1:45.97",2008,"mens","freestyle",200,"final"
"493","5","Paul Biedermann","21","Germany","GER","1:46.00",2008,"mens","freestyle",200,"final"
"494","6","Dominik Meichtry","23","Switzerland","SUI","1:46.95",2008,"mens","freestyle",200,"final"
"495","7","Yoshihiro Okumura","25","Japan","JPN","1:47.14",2008,"mens","freestyle",200,"final"
"496","8","Robbie Renwick","20","Great Britain","GBR","1:47.47",2008,"mens","freestyle",200,"final"
"497","1","Yannick Agnel","20","France","FRA","1:43.14",2012,"mens","freestyle",200,"final"
"498","2T","Park Tae-Hwan","22","South Korea","KOR","1:44.93",2012,"mens","freestyle",200,"final"
"499","2T","Sun Yang","20","China","CHN","1:44.93",2012,"mens","freestyle",200,"final"
"500","4","Ryan Lochte","27","United States","USA","1:45.04",2012,"mens","freestyle",200,"final"
"501","5","Paul Biedermann","25","Germany","GER","1:45.53",2012,"mens","freestyle",200,"final"
"502","6","Robbie Renwick","24","Great Britain","GBR","1:46.53",2012,"mens","freestyle",200,"final"
"503","7","Thomas Fraser-Holmes","20","Australia","AUS","1:46.93",2012,"mens","freestyle",200,"final"
"504","8","Dan Izotov","20","Russia","RUS","1:47.75",2012,"mens","freestyle",200,"final"
"505","1","Uwe Daßler","21","East Germany","GDR","3:46.95",1988,"mens","freestyle",400,"final"
"506","2","Duncan Armstrong","20","Australia","AUS","3:47.15",1988,"mens","freestyle",400,"final"
"507","3","Artur Wojdat","20","Poland","POL","3:47.34",1988,"mens","freestyle",400,"final"
"508","4","Matt Cetlinski","23","United States","USA","3:48.09",1988,"mens","freestyle",400,"final"
"509","5","Mariusz Podkościelny","20","Poland","POL","3:48.59",1988,"mens","freestyle",400,"final"
"510","6","Stefan Pfeiffer","22","West Germany","FRG","3:49.96",1988,"mens","freestyle",400,"final"
"511","7","Kevin Boyd","22","Great Britain","GBR","3:50.16",1988,"mens","freestyle",400,"final"
"512","8","Anders Holmertz","19","Sweden","SWE","3:51.04",1988,"mens","freestyle",400,"final"
"513","1","Yevgeny Sadovy","19","Unified Team","EUN","3:45.00",1992,"mens","freestyle",400,"final"
"514","2","Kieren Perkins","18","Australia","AUS","3:45.16",1992,"mens","freestyle",400,"final"
"515","3","Anders Holmertz","23","Sweden","SWE","3:46.77",1992,"mens","freestyle",400,"final"
"516","4","Artur Wojdat","24","Poland","POL","3:48.10",1992,"mens","freestyle",400,"final"
"517","5","Ian Brown","26","Australia","AUS","3:48.79",1992,"mens","freestyle",400,"final"
"518","6","Sebastian Wiese","20","Germany","GER","3:49.06",1992,"mens","freestyle",400,"final"
"519","7","Stefan Pfeiffer","26","Germany","GER","3:49.75",1992,"mens","freestyle",400,"final"
"520","8","Danyon Loader","17","New Zealand","NZL","3:49.97",1992,"mens","freestyle",400,"final"
"521","1","Danyon Loader","21","New Zealand","NZL","3:47.97",1996,"mens","freestyle",400,"final"
"522","2","Paul Palmer","21","Great Britain","GBR","3:49.00",1996,"mens","freestyle",400,"final"
"523","3","Daniel Kowalski","21","Australia","AUS","3:49.39",1996,"mens","freestyle",400,"final"
"524","4","Emiliano Brembilla","17","Italy","ITA","3:49.87",1996,"mens","freestyle",400,"final"
"525","5","Anders Holmertz","27","Sweden","SWE","3:50.68",1996,"mens","freestyle",400,"final"
"526","6","Massimiliano Rosolino","18","Italy","ITA","3:51.04",1996,"mens","freestyle",400,"final"
"527","7","Jörg Hoffmann","26","Germany","GER","3:52.15",1996,"mens","freestyle",400,"final"
"528","8","Jacob Carstensen","17","Denmark","DEN","3:54.45",1996,"mens","freestyle",400,"final"
"529","1","Ian Thorpe","17","Australia","AUS","3:40.59",2000,"mens","freestyle",400,"final"
"530","2","Massimiliano Rosolino","22","Italy","ITA","3:43.40",2000,"mens","freestyle",400,"final"
"531","3","Klete Keller","18","United States","USA","3:47.00",2000,"mens","freestyle",400,"final"
"532","4","Emiliano Brembilla","21","Italy","ITA","3:47.01",2000,"mens","freestyle",400,"final"
"533","5","Dragoş Coman","19","Romania","ROU","3:47.38",2000,"mens","freestyle",400,"final"
"534","6","Chad Carvin","26","United States","USA","3:47.58",2000,"mens","freestyle",400,"final"
"535","7","Grant Hackett","20","Australia","AUS","3:48.22",2000,"mens","freestyle",400,"final"
"536","8","Ryk Neethling","22","South Africa","RSA","3:48.52",2000,"mens","freestyle",400,"final"
"537","1","Ian Thorpe","21","Australia","AUS","3:43.10",2004,"mens","freestyle",400,"final"
"538","2","Grant Hackett","24","Australia","AUS","3:43.36",2004,"mens","freestyle",400,"final"
"539","3","Klete Keller","22","United States","USA","3:44.11",2004,"mens","freestyle",400,"final"
"540","4","Larsen Jensen","18","United States","USA","3:46.08",2004,"mens","freestyle",400,"final"
"541","5","Massimiliano Rosolino","26","Italy","ITA","3:46.25",2004,"mens","freestyle",400,"final"
"542","6","Yury Prilukov","20","Russia","RUS","3:46.69",2004,"mens","freestyle",400,"final"
"543","7","Spyros Gianniotis","24","Greece","GRE","3:48.77",2004,"mens","freestyle",400,"final"
"544","8","Takeshi Matsuda","20","Japan","JPN","3:48.96",2004,"mens","freestyle",400,"final"
"545","1","Park Tae-Hwan","18","South Korea","KOR","3:41.86",2008,"mens","freestyle",400,"final"
"546","2","Zhang Lin","21","China","CHN","3:42.44",2008,"mens","freestyle",400,"final"
"547","3","Larsen Jensen","22","United States","USA","3:42.78",2008,"mens","freestyle",400,"final"
"548","4","Peter Vanderkaay","24","United States","USA","3:43.11",2008,"mens","freestyle",400,"final"
"549","5","Oussama Mellouli","24","Tunisia","TUN","3:43.45",2008,"mens","freestyle",400,"final"
"550","6","Grant Hackett","28","Australia","AUS","3:43.84",2008,"mens","freestyle",400,"final"
"551","7","Yury Prilukov","24","Russia","RUS","3:43.97",2008,"mens","freestyle",400,"final"
"552","8","Nikita Lobintsev","19","Russia","RUS","3:48.29",2008,"mens","freestyle",400,"final"
"553","1","Sun Yang","20","China","CHN","3:40.14",2012,"mens","freestyle",400,"final"
"554","2","Park Tae-Hwan","22","South Korea","KOR","3:42.06",2012,"mens","freestyle",400,"final"
"555","3","Peter Vanderkaay","28","United States","USA","3:44.69",2012,"mens","freestyle",400,"final"
"556","4","Hao Yun","17","China","CHN","3:46.02",2012,"mens","freestyle",400,"final"
"557","5","Conor Dwyer","23","United States","USA","3:46.39",2012,"mens","freestyle",400,"final"
"558","6","Gergő Kis","24","Hungary","HUN","3:47.03",2012,"mens","freestyle",400,"final"
"559","7","David Carry","30","Great Britain","GBR","3:48.62",2012,"mens","freestyle",400,"final"
"560","8","Ryan Napoleon","22","Australia","AUS","3:49.25",2012,"mens","freestyle",400,"final"
"561","1","Vladimir Salnikov","28","Soviet Union","URS","15:00.40",1988,"mens","freestyle",1500,"final"
"562","2","Stefan Pfeiffer","22","West Germany","FRG","15:02.69",1988,"mens","freestyle",1500,"final"
"563","3","Uwe Daßler","21","East Germany","GDR","15:06.15",1988,"mens","freestyle",1500,"final"
"564","4","Matt Cetlinski","23","United States","USA","15:06.42",1988,"mens","freestyle",1500,"final"
"565","5","Mariusz Podkościelny","20","Poland","POL","15:14.76",1988,"mens","freestyle",1500,"final"
"566","6","Rainer Henkel","24","West Germany","FRG","15:18.19",1988,"mens","freestyle",1500,"final"
"567","7","Kevin Boyd","22","Great Britain","GBR","15:21.16",1988,"mens","freestyle",1500,"final"
"568","8","Darjan Petrič","24","Yugoslavia","YUG","15:37.12",1988,"mens","freestyle",1500,"final"
"569","1","Kieren Perkins","18","Australia","AUS","14:43.48",1992,"mens","freestyle",1500,"final"
"570","2","Glen Housman","20","Australia","AUS","14:55.29",1992,"mens","freestyle",1500,"final"
"571","3","Jörg Hoffmann","22","Germany","GER","15:02.29",1992,"mens","freestyle",1500,"final"
"572","4","Stefan Pfeiffer","26","Germany","GER","15:04.28",1992,"mens","freestyle",1500,"final"
"573","5","Ian Wilson","21","Great Britain","GBR","15:13.35",1992,"mens","freestyle",1500,"final"
"574","6","Igor Majcen","22","Slovenia","SLO","15:19.12",1992,"mens","freestyle",1500,"final"
"575","7","Lawrence Frostad","25","United States","USA","15:19.41",1992,"mens","freestyle",1500,"final"
"576","8","Viktor Andreyev","18","Unified Team","EUN","15:33.94",1992,"mens","freestyle",1500,"final"
"577","1","Kieren Perkins","22","Australia","AUS","14:56.40",1996,"mens","freestyle",1500,"final"
"578","2","Daniel Kowalski","21","Australia","AUS","15:02.43",1996,"mens","freestyle",1500,"final"
"579","3","Graeme Smith","20","Great Britain","GBR","15:02.48",1996,"mens","freestyle",1500,"final"
"580","4","Emiliano Brembilla","17","Italy","ITA","15:08.58",1996,"mens","freestyle",1500,"final"
"581","5","Ryk Neethling","18","South Africa","RSA","15:14.63",1996,"mens","freestyle",1500,"final"
"582","6","Masato Hirano","21","Japan","JPN","15:17.28",1996,"mens","freestyle",1500,"final"
"583","7","Jörg Hoffmann","26","Germany","GER","15:18.86",1996,"mens","freestyle",1500,"final"
"584","8","Aleksey Akatyev","21","Russia","RUS","15:21.68",1996,"mens","freestyle",1500,"final"
"585","1","Grant Hackett","20","Australia","AUS","14:48.33",2000,"mens","freestyle",1500,"final"
"586","2","Kieren Perkins","27","Australia","AUS","14:53.59",2000,"mens","freestyle",1500,"final"
"587","3","Chris Thompson","21","United States","USA","14:56.81",2000,"mens","freestyle",1500,"final"
"588","4","Aleksey Filipets","22","Russia","RUS","14:56.88",2000,"mens","freestyle",1500,"final"
"589","5","Ryk Neethling","22","South Africa","RSA","15:00.48",2000,"mens","freestyle",1500,"final"
"590","6","Erik Vendt","19","United States","USA","15:08.61",2000,"mens","freestyle",1500,"final"
"591","7","Ihor Chervynskiy","18","Ukraine","UKR","15:08.80",2000,"mens","freestyle",1500,"final"
"592","8","Heiko Hell","20","Germany","GER","15:19.87",2000,"mens","freestyle",1500,"final"
"593","1","Grant Hackett","24","Australia","AUS","14:43.40",2004,"mens","freestyle",1500,"final"
"594","2","Larsen Jensen","18","United States","USA","14:45.29",2004,"mens","freestyle",1500,"final"
"595","3","Dave Davies","19","Great Britain","GBR","14:45.95",2004,"mens","freestyle",1500,"final"
"596","4","Yury Prilukov","20","Russia","RUS","14:52.48",2004,"mens","freestyle",1500,"final"
"597","5","Spyros Gianniotis","24","Greece","GRE","15:03.69",2004,"mens","freestyle",1500,"final"
"598","6","Graeme Smith","28","Great Britain","GBR","15:09.71",2004,"mens","freestyle",1500,"final"
"599","7","Dragoş Coman","23","Romania","ROU","15:10.21",2004,"mens","freestyle",1500,"final"
"600","8","Craig Stevens","24","Australia","AUS","15:13.66",2004,"mens","freestyle",1500,"final"
"601","1","Oussama Mellouli","24","Tunisia","TUN","14:40.84",2008,"mens","freestyle",1500,"final"
"602","2","Grant Hackett","28","Australia","AUS","14:41.53",2008,"mens","freestyle",1500,"final"
"603","3","Ryan Cochrane","19","Canada","CAN","14:42.69",2008,"mens","freestyle",1500,"final"
"604","4","Yury Prilukov","24","Russia","RUS","14:43.21",2008,"mens","freestyle",1500,"final"
"605","5","Larsen Jensen","22","United States","USA","14:48.16",2008,"mens","freestyle",1500,"final"
"606","6","Dave Davies","23","Great Britain","GBR","14:52.11",2008,"mens","freestyle",1500,"final"
"607","7","Zhang Lin","21","China","CHN","14:55.20",2008,"mens","freestyle",1500,"final"
"608","8","Sun Yang","16","China","CHN","15:05.12",2008,"mens","freestyle",1500,"final"
"609","1","Sun Yang","20","China","CHN","14:31.02",2012,"mens","freestyle",1500,"final"
"610","2","Ryan Cochrane","23","Canada","CAN","14:39.63",2012,"mens","freestyle",1500,"final"
"611","3","Oussama Mellouli","28","Tunisia","TUN","14:40.31",2012,"mens","freestyle",1500,"final"
"612","4","Park Tae-Hwan","22","South Korea","KOR","14:50.61",2012,"mens","freestyle",1500,"final"
"613","5","Gregorio Paltrinieri","17","Italy","ITA","14:51.92",2012,"mens","freestyle",1500,"final"
"614","6","Connor Jaeger","21","United States","USA","14:52.99",2012,"mens","freestyle",1500,"final"
"615","7","Mateusz Sawrymowicz","25","Poland","POL","14:54.32",2012,"mens","freestyle",1500,"final"
"616","8","Daniel Fogg","24","Great Britain","GBR","15:00.76",2012,"mens","freestyle",1500,"final"
"617","1","Tamás Darnyi","21","Hungary","HUN","2:00.17",1988,"mens","individual-medley",200,"final"
"618","2","Patrick Kühl","20","East Germany","GDR","2:01.61",1988,"mens","individual-medley",200,"final"
"619","3","Vadym Yaroshchuk","22","Soviet Union","URS","2:02.40",1988,"mens","individual-medley",200,"final"
"620","4","Mikhail Zubkov","20","Soviet Union","URS","2:02.92",1988,"mens","individual-medley",200,"final"
"621","5","Peter Bermel","21","West Germany","FRG","2:03.81",1988,"mens","individual-medley",200,"final"
"622","6","Robert Bruce","19","Australia","AUS","2:04.34",1988,"mens","individual-medley",200,"final"
"623","7","Raik Hannemann","20","East Germany","GDR","2:04.82",1988,"mens","individual-medley",200,"final"
"624","8","Gary Anderson","19","Canada","CAN","2:06.35",1988,"mens","individual-medley",200,"final"
"625","1","Tamás Darnyi","25","Hungary","HUN","2:00.76",1992,"mens","individual-medley",200,"final"
"626","2","Greg Burgess","20","United States","USA","2:00.97",1992,"mens","individual-medley",200,"final"
"627","3","Attila Czene","18","Hungary","HUN","2:01.00",1992,"mens","individual-medley",200,"final"
"628","4","Jani Sievinen","18","Finland","FIN","2:01.28",1992,"mens","individual-medley",200,"final"
"629","5","Christian Geßner","24","Germany","GER","2:01.97",1992,"mens","individual-medley",200,"final"
"630","6","Ron Karnaugh","26","United States","USA","2:02.18",1992,"mens","individual-medley",200,"final"
"631","7","Matt Dunn","18","Australia","AUS","2:02.79",1992,"mens","individual-medley",200,"final"
"632","8","Gary Anderson","23","Canada","CAN","2:04.30",1992,"mens","individual-medley",200,"final"
"633","1","Attila Czene","22","Hungary","HUN","1:59.91",1996,"mens","individual-medley",200,"final"
"634","2","Jani Sievinen","22","Finland","FIN","2:00.13",1996,"mens","individual-medley",200,"final"
"635","3","Curtis Myden","22","Canada","CAN","2:01.13",1996,"mens","individual-medley",200,"final"
"636","4","Marcel Wouda","24","Netherlands","NED","2:01.45",1996,"mens","individual-medley",200,"final"
"637","5","Matt Dunn","22","Australia","AUS","2:01.57",1996,"mens","individual-medley",200,"final"
"638","6","Greg Burgess","24","United States","USA","2:02.56",1996,"mens","individual-medley",200,"final"
"639","7","Tom Dolan","20","United States","USA","2:03.89",1996,"mens","individual-medley",200,"final"
"640","8","Xavier Marchand","22","France","FRA","2:04.29",1996,"mens","individual-medley",200,"final"
"641","1","Massimiliano Rosolino","22","Italy","ITA","1:58.98",2000,"mens","individual-medley",200,"final"
"642","2","Tom Dolan","24","United States","USA","1:59.77",2000,"mens","individual-medley",200,"final"
"643","3","Tom Wilkens","24","United States","USA","2:00.87",2000,"mens","individual-medley",200,"final"
"644","4","Attila Czene","26","Hungary","HUN","2:01.16",2000,"mens","individual-medley",200,"final"
"645","5","Marcel Wouda","28","Netherlands","NED","2:01.48",2000,"mens","individual-medley",200,"final"
"646","6","Christian Keller","28","Germany","GER","2:02.02",2000,"mens","individual-medley",200,"final"
"647","7","Xavier Marchand","27","France","FRA","2:02.23",2000,"mens","individual-medley",200,"final"
"648","8","Jani Sievinen","26","Finland","FIN","2:02.49",2000,"mens","individual-medley",200,"final"
"649","1","Michael Phelps","19","United States","USA","1:57.14",2004,"mens","individual-medley",200,"final"
"650","2","Ryan Lochte","20","United States","USA","1:58.78",2004,"mens","individual-medley",200,"final"
"651","3","George Bovell","21","Trinidad and Tobago","TTO","1:58.80",2004,"mens","individual-medley",200,"final"
"652","4","László Cseh, Jr.","18","Hungary","HUN","1:58.84",2004,"mens","individual-medley",200,"final"
"653","5","Thiago Pereira","18","Brazil","BRA","2:00.11",2004,"mens","individual-medley",200,"final"
"654","6","Takahiro Mori","24","Japan","JPN","2:00.60",2004,"mens","individual-medley",200,"final"
"655","7","Vytautas Janušaitis","22","Lithuania","LTU","2:01.28",2004,"mens","individual-medley",200,"final"
"656","8","Jiro Miki","21","Japan","JPN","2:02.16",2004,"mens","individual-medley",200,"final"
"657","1","Michael Phelps","23","United States","USA","1:54.23",2008,"mens","individual-medley",200,"final"
"658","2","László Cseh, Jr.","22","Hungary","HUN","1:56.52",2008,"mens","individual-medley",200,"final"
"659","3","Ryan Lochte","24","United States","USA","1:56.53",2008,"mens","individual-medley",200,"final"
"660","4","Thiago Pereira","22","Brazil","BRA","1:58.14",2008,"mens","individual-medley",200,"final"
"661","5","Ken Takakuwa","23","Japan","JPN","1:58.22",2008,"mens","individual-medley",200,"final"
"662","6","James Goddard","25","Great Britain","GBR","1:59.24",2008,"mens","individual-medley",200,"final"
"663","7","Keith Beavers","25","Canada","CAN","1:59.43",2008,"mens","individual-medley",200,"final"
